Date,Open,High,Low,Close,Volume,Market Cap
Aug-12-2020,11397.039450146,11607.740818595,11238.647352159,11576.814266862,42464680750.60656,211560773190.0746
Aug-05-2020,11196.17762218,11769.269605624,11133.728519023,11732.927950313,31972193671.72712,211293357710.87622
Jul-29-2020,10905.328257283,11282.250867517,10839.390923616,11073.297879589,39989495152.793465,204223624325.27087
Jul-22-2020,9384.637280301,9524.321572447,9306.723329486,9518.901022149,19256793736.38002,172605073940.35315
Jul-15-2020,9253.721450557,9269.70497122,9182.048444031,9206.764838048,14662526150.233889,170079990853.28693
Jul-08-2020,9257.371172247,9453.376947211,9241.340229654,9420.350154587,16333234232.439144,172116575807.64386
Jul-01-2020,9136.040257457,9283.111144786,9102.358833701,9225.668161404,15043273940.040756,169227695661.83362
Jun-24-2020,9619.310235827,9664.023907562,9242.954368158,9289.303604875,18027557224.35012,174051689510.32465
Jun-17-2020,9522.880923528,9540.093920682,9309.953063527,9463.405493001,18609541664.250973,173978886609.3549
Jun-10-2020,9771.820948992,9966.962941217,9716.219496684,9864.561413157,21335294207.64187,179960228068.54263
Jun-03-2020,9542.709506676,9652.629014484,9454.87867805,9652.629014484,30774114397.07087,175715682277.90076
May-27-2020,8855.98982941,9189.868582806,8846.784743008,9165.144673701,29023731426.99337,165951880765.01962
May-20-2020,9769.895544978,9805.300343078,9441.170645581,9524.434063671,31304878616.171516,177817155456.8914
May-13-2020,8804.984468115,9363.647602379,8804.984468115,9302.896540995,34610987892.58701,165909204204.7997
May-06-2020,9013.045880952,9353.209746724,8936.688923797,9198.252700851,37332792656.473495,167826777744.7672
Apr-29-2020,7747.510263013,8878.881233865,7731.959973293,8759.789190303,34278610731.338528,150712446279.9226
Apr-22-2020,6848.63295458,7127.934459289,6828.232224184,7106.551177031,24916975279.046455,128120648874.18997
Apr-15-2020,6860.026011278,6915.825190547,6629.918818011,6637.791815543,26821228375.741028,124596359705.63637
Apr-08-2020,7197.669188418,7376.150588799,7171.11416436,7352.328771068,32753738688.828842,133529754680.455
Apr-01-2020,6419.060999071,6601.951969107,6176.881757456,6598.287014759,25637412066.59383,115302473165.50468
Mar-25-2020,6740.887504072,6909.427937704,6509.137356817,6681.336594453,37094888214.32621,121546867684.8523
Mar-18-2020,5322.867474491,5396.96940241,5047.756898995,5365.581534299,30708432421.460014,95631779590.90817
Mar-11-2020,7897.141265314,7963.670417156,7627.475829,7931.347542963,32035157695.883503,141970620520.2468
Mar-04-2020,8762.362408192,8839.479071446,8554.100335166,8749.500221929,29780398865.109215,158496183520.31754
Feb-26-2020,9327.165780323,9368.457956608,8692.901590615,8829.543592945,35462874215.674545,163787589106.11044
Feb-19-2020,10152.939757068,10214.653170618,9603.34086127,9621.766805943,37096619902.53132,182314328777.60303
Feb-12-2020,10220.508924458,10396.605743004,10220.508924458,10327.554589217,37536325030.77256,186429089122.67944
Feb-05-2020,9175.377439615,9684.328803636,9163.041622942,9602.309743074,27369542844.8735,170352603411.8736
Jan-29-2020,9361.341368662,9399.970873569,9264.581114883,9304.918063766,31677015378.88771,168807381942.65137
Jan-22-2020,8734.172883547,8785.169479764,8628.227700466,8672.801078606,21487927493.79023,157068117572.19583
Jan-15-2020,8818.537331019,8875.853271286,8409.183692222,8807.632433908,41907940746.90112,158048673749.5914
Jan-08-2020,8152.750894301,8431.806289382,7889.175445587,8055.759827258,32572235030.894993,148885145141.64438
Jan-01-2020,7196.61464775,7252.034227901,7182.140635881,7213.918462217,17174701192.721855,130562734340.6505
